 frequency              input_noise_VrtHz      output_noise_VrtHz    
 7.079457843841339e-01  1.295220928172693e-06  3.391877718563742e-02 
 7.244359600749859e-01  1.280300440735840e-06  3.352804323467494e-02 
 7.413102413009133e-01  1.265554040719498e-06  3.314186816956582e-02 
 7.585775750291794e-01  1.250979670340736e-06  3.276019812910255e-02 
 7.762471166286873e-01  1.236575296482616e-06  3.238297988264752e-02 
 7.943282347242769e-01  1.222338910394605e-06  3.201016075391089e-02 
 8.128305161640945e-01  1.208268527395598e-06  3.164168879586901e-02 
 8.317637711026662e-01  1.194362186583189e-06  3.127751272343523e-02 
 8.511380382023715e-01  1.180617950544595e-06  3.091758171639156e-02 
 8.709635899560756e-01  1.167033905071020e-06  3.056184567159092e-02 
 8.912509381337403e-01  1.153608158877332e-06  3.021025504570367e-02 
 9.120108393559044e-01  1.140338843322106e-06  2.986276092766468e-02 
 9.332543007969856e-01  1.127224112135157e-06  2.951931493992425e-02 
 9.549925860214303e-01  1.114262141144599e-06  2.917986933522680e-02 
 9.772372209558049e-01  1.101451128009690e-06  2.884437692430266e-02 
 9.999999999999940e-01  1.088789291955671e-06  2.851279102034734e-02 
 1.023292992280748e+00  1.076274873513259e-06  2.818506554546241e-02 
 1.047128548050893e+00  1.063906134258442e-06  2.786115503301977e-02 
 1.071519305237600e+00  1.051681356560213e-06  2.754101446274867e-02 
 1.096478196143178e+00  1.039598843326421e-06  2.722459936559911e-02 
 1.122018454301957e+00  1.027656917755795e-06  2.691186586307569e-02 
 1.148153621496876e+00  1.015853923092240e-06  2.660277056538475e-02 
 1.174897554939522e+00  1.004188222381812e-06  2.629727058984197e-02 
 1.202264434617406e+00  9.926581982335490e-07  2.599532353277318e-02 
 1.230268770812374e+00  9.812622525811367e-07  2.569688764300478e-02 
 1.258925411794160e+00  9.699988064511094e-07  2.540192147786229e-02 
 1.288249551693126e+00  9.588662997301723e-07  2.511038423371735e-02 
 1.318256738556399e+00  9.478631909375830e-07  2.482223549563156e-02 
 1.348962882591645e+00  9.369879569992786e-07  2.453743540684424e-02 
 1.380384264602876e+00  9.262390930262347e-07  2.425594455374315e-02 
 1.412537544622746e+00  9.156151120933027e-07  2.397772396191597e-02 
 1.445439770745919e+00  9.051145450223379e-07  2.370273519475966e-02 
 1.479108388168198e+00  8.947359401687352e-07  2.343094018159520e-02 
 1.513561248436199e+00  8.844778632073450e-07  2.316230141768396e-02 
 1.548816618912471e+00  8.743388969250839e-07  2.289678175436004e-02 
 1.584893192461103e+00  8.643176410129391e-07  2.263434451623276e-02 
 1.621810097358920e+00  8.544127118624159e-07  2.237495344574428e-02 
 1.659586907437550e+00  8.446227423633048e-07  2.211857276593750e-02 
 1.698243652461733e+00  8.349463817045593e-07  2.186516708736391e-02 
 1.737800828749364e+00  8.253822951774562e-07  2.161470144251932e-02 
 1.778279410038911e+00  8.159291639811618e-07  2.136714131769632e-02 
 1.819700858609971e+00  8.065856850306099e-07  2.112245254533261e-02 
 1.862087136662855e+00  7.973505707670003e-07  2.088060143819544e-02 
 1.905460717963235e+00  7.882225489701577e-07  2.064155463744440e-02 
 1.949844599758032e+00  7.792003625734381e-07  2.040527924428498e-02 
 1.995262314968866e+00  7.702827694810780e-07  2.017174272435690e-02 
 2.041737944669515e+00  7.614685423873559e-07  1.994091289589953e-02 
 2.089296130854025e+00  7.527564685986942e-07  1.971275802936211e-02 
 2.137962089502217e+00  7.441453498566000e-07  1.948724674610590e-02 
 2.187761623949537e+00  7.356340021643701e-07  1.926434800701778e-02 
 2.238721138568323e+00  7.272212556150375e-07  1.904403117580088e-02 
 2.290867652767756e+00  7.189059542210629e-07  1.882626597187890e-02 
 2.344228815319905e+00  7.106869557472214e-07  1.861102248258422e-02 
 2.398832919019473e+00  7.025631315444174e-07  1.839827111855212e-02 
 2.454708915685012e+00  6.945333663864291e-07  1.818798268205719e-02 
 2.511886431509561e+00  6.865965583076425e-07  1.798012832159454e-02 
 2.570395782768844e+00  6.787516184440917e-07  1.777467948929183e-02 
 2.630267991895362e+00  6.709974708751197e-07  1.757160799976136e-02 
 2.691534803926895e+00  6.633330524677051e-07  1.737088601716624e-02 
 2.754228703338145e+00  6.557573127225612e-07  1.717248602803997e-02 
 2.818382931264432e+00  6.482692136224477e-07  1.697638080103676e-02 
 2.884031503126584e+00  6.408677294811045e-07  1.678254350161393e-02 
 2.951209226666363e+00  6.335518467959324e-07  1.659094755481722e-02 
 3.019951720401993e+00  6.263205641006528e-07  1.640156672275754e-02 
 3.090295432513567e+00  6.191728918208579e-07  1.621437509255825e-02 
 3.162277660168355e+00  6.121078521311973e-07  1.602934705100355e-02 
 3.235936569296257e+00  6.051244788137379e-07  1.584645724010957e-02 
 3.311311214825885e+00  5.982218171186169e-07  1.566568069847644e-02 
 3.388441561391999e+00  5.913989236264232e-07  1.548699266467154e-02 
 3.467368504525289e+00  5.846548661115960e-07  1.531036871809876e-02 
 3.548133892335727e+00  5.779887234085430e-07  1.513578472041305e-02 
 3.630780547700985e+00  5.713995852781353e-07  1.496321683827175e-02 
 3.715352290971696e+00  5.648865522768535e-07  1.479264149400144e-02 
 3.801893963205582e+00  5.584487356272312e-07  1.462403536999380e-02 
 3.890451449942775e+00  5.520852570895346e-07  1.445737549392805e-02 
 3.981071705534941e+00  5.457952488355714e-07  1.429263908314989e-02 
 4.073802778041094e+00  5.395778533234629e-07  1.412980367432668e-02 
 4.168693834703320e+00  5.334322231742085e-07  1.396884705694915e-02 
 4.265795188015892e+00  5.273575210502966e-07  1.380974727680542e-02 
 4.365158322401624e+00  5.213529195342777e-07  1.365248267444473e-02 
 4.466835921509595e+00  5.154176010109837e-07  1.349703176914391e-02 
 4.570881896148713e+00  5.095507575489135e-07  1.334337339285107e-02 
 4.677351412871944e+00  5.037515907848368e-07  1.319148664385737e-02 
 4.786300923226344e+00  4.980193118088207e-07  1.304135082640282e-02 
 4.897788193684422e+00  4.923531410509791e-07  1.289294548899400e-02 
 5.011872336272681e+00  4.867523081695704e-07  1.274625044347618e-02 
 5.128613839913606e+00  4.812160519406915e-07  1.260124571725017e-02 
 5.248074602497682e+00  4.757436201485516e-07  1.245791158933176e-02 
 5.370317963702482e+00  4.703342694778540e-07  1.231622856526236e-02 
 5.495408738576200e+00  4.649872654077227e-07  1.217617737460657e-02 
 5.623413251903443e+00  4.597018821054896e-07  1.203773898925601e-02 
 5.754399373371521e+00  4.544774023233808e-07  1.190089459406035e-02 
 5.888436553555840e+00  4.493131172956430e-07  1.176562557960603e-02 
 6.025595860743526e+00  4.442083266370154e-07  1.163191357559433e-02 
 6.165950018614769e+00  4.391623382424072e-07  1.149974043706366e-02 
 6.309573444801878e+00  4.341744681880373e-07  1.136908820678637e-02 
 6.456542290346500e+00  4.292440406334881e-07  1.123993915781837e-02 
 6.606934480075903e+00  4.243703877252079e-07  1.111227574175837e-02 
 6.760829753919760e+00  4.195528495008362e-07  1.098608063534984e-02 
 6.918309709189305e+00  4.147907737950167e-07  1.086133673686061e-02 
 7.079457843841318e+00  4.100835161462659e-07  1.073802712538145e-02 
 7.244359600749839e+00  4.054304397049773e-07  1.061613505026333e-02 
 7.413102413009112e+00  4.008309151424087e-07  1.049564401646895e-02 
 7.585775750291773e+00  3.962843205609691e-07  1.037653766661480e-02 
 7.762471166286851e+00  3.917900414051964e-07  1.025879987482956e-02 
 7.943282347242747e+00  3.873474703746912e-07  1.014241467195266e-02 
