Parameter,Unit,Spec,Min,MeanMinus3Sigma,MeanMinusSigma,Mean,MeanPlusSigma,MeanPlus3Sigma,Max,Yield
Bias current,uA,40±10,38.3347,38.1864375286193,39.4659051762064,40.105639,40.7453728237936,42.0248404713807,41.7528,100
Total current,mA,≤1.25,0.790669,0.782578116967826,0.818390798989275,0.83629714,0.854203481010725,0.890016163032174,0.893812,100
Total power,mW,≤4.5,2.60921,2.58250726522486,2.70068955507495,2.7597807,2.81887184492505,2.93705413477514,2.94958,100
DC gain,dB,≥88,95.4788,95.2596817027686,96.0306769009229,96.4161745,96.8016720990771,97.5726672972313,97.4053,100
UGF,MHz,≥8,12.0593,11.9164508130434,12.5264889376811,12.831508,13.1365270623189,13.7465651869566,13.7007,100
Phase margin,deg,≥55,66.9472,66.7056423914587,67.4547227971529,67.829263,68.2038032028471,68.9528836085413,69.1914,100
Input offset,uV,±2000,-1631.58,-1359.70057419776,-406.389076065919,70.266673,546.922422065919,1500.23392019776,1376.63,100
Gain error,%,±0.01,-0.00219999999999665,-0.00238657356646146,-0.00157619118882029,-0.0011709999999997,-0.000765808811179112,4.4573566462065e-05,0,100
