NMOS terminal gm/Id table:

L = 0.28 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     17.00     552.95      54.85         0.1881          1.994      0.118      0.569      0.687
     18.00     540.64      54.66         0.1422          1.768      0.111      0.560      0.671
     19.00     526.40      54.43         0.1052          1.525      0.105      0.549      0.654
     20.00     510.58      54.16        0.07476          1.266      0.100      0.537      0.637

L = 3.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     562.94      55.01          4.874           1.36      0.500      0.627      1.127
      5.00     617.57      55.81          3.148          1.385      0.400      0.629      1.029
      6.00     656.20      56.34          2.172          1.391      0.333      0.628      0.961
      7.00     683.88      56.70          1.564          1.381      0.286      0.625      0.911
      8.00     703.32      56.94          1.161          1.359      0.250      0.621      0.871
      9.00     716.23      57.10         0.8792          1.327      0.222      0.616      0.838
     10.00     723.87      57.19         0.6749          1.285      0.200      0.610      0.810
     11.00     726.92      57.23         0.5244          1.235      0.182      0.604      0.786
     12.00     726.24      57.22         0.4094          1.178      0.167      0.598      0.764
     13.00     722.27      57.17         0.3206          1.114      0.154      0.591      0.745
     14.00     715.42      57.09         0.2511          1.043      0.143      0.584      0.727
     15.00     706.02      56.98         0.1957         0.9661      0.133      0.576      0.710
     16.00     694.05      56.83          0.152         0.8839      0.125      0.568      0.693
     17.00     679.88      56.65         0.1166         0.7954      0.118      0.559      0.677
     18.00     663.55      56.44        0.08776         0.7008      0.111      0.550      0.661
     19.00     645.03      56.19         0.0646         0.6011      0.105      0.539      0.644
     20.00     624.73      55.91        0.04569         0.4959      0.100      0.527      0.627

L = 4.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     661.03      56.40          3.644         0.7603      0.500      0.626      1.126
      5.00     721.06      57.16          2.343         0.7702      0.400      0.628      1.028
      6.00     762.98      57.65           1.61         0.7701      0.333      0.626      0.959
      7.00     792.47      57.98          1.157         0.7622      0.286      0.622      0.908
      8.00     812.71      58.20         0.8561         0.7476      0.250      0.618      0.868
      9.00     825.60      58.34          0.647         0.7273      0.222      0.612      0.835
     10.00     832.51      58.41         0.4959          0.702      0.200      0.607      0.807
     11.00     834.43      58.43         0.3837         0.6722      0.182      0.600      0.782
     12.00     832.14      58.40         0.2986         0.6385      0.167      0.594      0.760
     13.00     826.13      58.34         0.2333         0.6016      0.154      0.587      0.741
     14.00     816.86      58.24         0.1825         0.5616      0.143      0.579      0.722
     15.00     804.73      58.11         0.1422         0.5186      0.133      0.572      0.705
     16.00     790.06      57.95         0.1099         0.4725      0.125      0.564      0.689
     17.00     772.83      57.76        0.08415         0.4238      0.118      0.555      0.672
     18.00     753.22      57.54        0.06333         0.3724      0.111      0.545      0.656
     19.00     731.44      57.28        0.04633         0.3181      0.105      0.534      0.639
     20.00     707.60      57.00        0.03271         0.2617      0.100      0.521      0.621

L = 5.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VGS
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     742.62      57.42          2.908         0.4845      0.500      0.626      1.126
      5.00     805.61      58.12          1.864         0.4894      0.400      0.627      1.027
      6.00     849.03      58.58          1.279         0.4882      0.333      0.624      0.958
      7.00     879.13      58.88         0.9172         0.4822      0.286      0.621      0.906
      8.00     899.31      59.08         0.6777          0.472      0.250      0.616      0.866
      9.00     911.64      59.20         0.5112         0.4582      0.222      0.610      0.833
     10.00     917.52      59.25         0.3914         0.4414      0.200      0.604      0.804
     11.00     918.15      59.26         0.3022         0.4217      0.182      0.598      0.780
     12.00     914.09      59.22         0.2352         0.3999      0.167      0.591      0.758
     13.00     906.20      59.14         0.1835          0.376      0.154      0.584      0.738
     14.00     894.97      59.04          0.143           0.35      0.143      0.577      0.720
     15.00     880.57      58.90         0.1114         0.3226      0.133      0.569      0.702
     16.00     863.44      58.72        0.08615         0.2935      0.125      0.561      0.686
     17.00     843.82      58.52        0.06569         0.2625      0.118      0.552      0.669
     18.00     821.55      58.29        0.04942         0.2303      0.111      0.542      0.653
     19.00     797.00      58.03        0.03618         0.1964      0.105      0.531      0.636
     20.00     770.44      57.73        0.02546         0.1612      0.100      0.518      0.618
