 time                   v(VDIFFCMD)            tr_vin_diff            v(OUTP)                v(OUTN)                tr_voutcm              tr_voutdiff            v(VOCM)                tr_idd                
 1.114000000000000e-08  0.000000000000000e+00 -6.065414837053140e-11  1.649931383177893e+00  1.649931383391503e+00  1.649931383284698e+00 -2.136102406069540e-10  1.649931300792840e+00  1.670955890191755e-03 
 1.164000000000000e-08  0.000000000000000e+00 -5.531108904222037e-11  1.649931383152417e+00  1.649931383395367e+00  1.649931383273892e+00 -2.429505485679329e-10  1.649931300782043e+00  1.670955890477837e-03 
 1.214000000000000e-08  0.000000000000000e+00 -4.969447076064171e-11  1.649931383126949e+00  1.649931383399226e+00  1.649931383263088e+00 -2.722766456741965e-10  1.649931300771349e+00  1.670955890510717e-03 
 1.264000000000000e-08  0.000000000000000e+00 -4.384648200073116e-11  1.649931383101518e+00  1.649931383403071e+00  1.649931383252294e+00 -3.015536709227717e-10  1.649931300760939e+00  1.670955890197614e-03 
 1.314000000000000e-08  0.000000000000000e+00 -3.774314194515682e-11  1.649931383076204e+00  1.649931383406958e+00  1.649931383241581e+00 -3.307547569164626e-10  1.649931300750396e+00  1.670955890116734e-03 
 1.364000000000000e-08  0.000000000000000e+00 -3.139355442272063e-11  1.649931383050962e+00  1.649931383410944e+00  1.649931383230953e+00 -3.599818221289297e-10  1.649931300739539e+00  1.670955889909633e-03 
 1.414000000000000e-08  0.000000000000000e+00 -2.481170824353285e-11  1.649931383025907e+00  1.649931383415039e+00  1.649931383220473e+00 -3.891325039973026e-10  1.649931300729222e+00  1.670955889452065e-03 
 1.464000000000000e-08  0.000000000000000e+00 -1.797162418881726e-11  1.649931383001020e+00  1.649931383419200e+00  1.649931383210110e+00 -4.181797130797804e-10  1.649931300718736e+00  1.670955889400900e-03 
 1.514000000000000e-08  0.000000000000000e+00 -1.086597478661133e-11  1.649931382976362e+00  1.649931383423504e+00  1.649931383199933e+00 -4.471418790785719e-10  1.649931300708671e+00  1.670955889250350e-03 
 1.564000000000000e-08  0.000000000000000e+00 -3.565148176676303e-12  1.649931382951900e+00  1.649931383427911e+00  1.649931383189905e+00 -4.760110083878999e-10  1.649931300698797e+00  1.670955889497169e-03 
 1.614000000000000e-08  0.000000000000000e+00  3.949285343196607e-12  1.649931382927666e+00  1.649931383432439e+00  1.649931383180053e+00 -5.047728901530490e-10  1.649931300689073e+00  1.670955890815780e-03 
 1.664000000000000e-08  0.000000000000000e+00  1.163269480741747e-11  1.649931382903733e+00  1.649931383437369e+00  1.649931383170551e+00 -5.336351360796243e-10  1.649931300679434e+00  1.670955890582753e-03 
 1.714000000000000e-08  0.000000000000000e+00  1.957523032558584e-11  1.649931382879994e+00  1.649931383442450e+00  1.649931383161222e+00 -5.624556376204737e-10  1.649931300669997e+00  1.670955889912416e-03 
 1.764000000000000e-08  0.000000000000000e+00  2.771516349753256e-11  1.649931382856372e+00  1.649931383447575e+00  1.649931383151973e+00 -5.912030864863027e-10  1.649931300660940e+00  1.670955890574271e-03 
