 time                   v(REF)                 v(VOCM)                v(OUTP)                v(OUTN)                cm_voutcm              cm_voutdiff            cm_idd                
 1.364000000000001e-07  8.500000000000000e-01  8.681938950790987e-01  8.681939385604310e-01  8.681939383933753e-01  8.681939384769032e-01  1.670557026045572e-10  1.555369202795735e-03 
 1.414000000000001e-07  8.500000000000000e-01  8.681938950562740e-01  8.681939385411658e-01  8.681939383702033e-01  8.681939384556845e-01  1.709624664059106e-10  1.555369203077493e-03 
 1.464000000000001e-07  8.500000000000000e-01  8.681938950324007e-01  8.681939385193654e-01  8.681939383440275e-01  8.681939384316965e-01  1.753379663682608e-10  1.555369202729421e-03 
 1.514000000000001e-07  8.500000000000000e-01  8.681938950043249e-01  8.681939384922354e-01  8.681939383151029e-01  8.681939384036692e-01  1.771324198429625e-10  1.555369202657782e-03 
 1.564000000000001e-07  8.500000000000000e-01  8.681938949751100e-01  8.681939384595656e-01  8.681939382846383e-01  8.681939383721020e-01  1.749272948714520e-10  1.555369202029278e-03 
 1.614000000000001e-07  8.500000000000000e-01  8.681938949432992e-01  8.681939384243724e-01  8.681939382531518e-01  8.681939383387621e-01  1.712205932591360e-10  1.555369202209813e-03 
 1.664000000000001e-07  8.500000000000000e-01  8.681938949049666e-01  8.681939383854734e-01  8.681939382138822e-01  8.681939382996778e-01  1.715911857047558e-10  1.555369201771390e-03 
 1.714000000000001e-07  8.500000000000000e-01  8.681938948650074e-01  8.681939383416336e-01  8.681939381734533e-01  8.681939382575434e-01  1.681803585285024e-10  1.555369201998266e-03 
 1.764000000000001e-07  8.500000000000000e-01  8.681938948232718e-01  8.681939382937580e-01  8.681939381341930e-01  8.681939382139755e-01  1.595650278574112e-10  1.555369202478381e-03 
 1.814000000000001e-07  8.500000000000000e-01  8.681938947803184e-01  8.681939382444828e-01  8.681939380948427e-01  8.681939381696627e-01  1.496400781064722e-10  1.555369202273273e-03 
 1.864000000000001e-07  8.500000000000000e-01  8.681938947325187e-01  8.681939381946092e-01  8.681939380492847e-01  8.681939381219470e-01  1.453245301874517e-10  1.555369201999899e-03 
 1.914000000000001e-07  8.500000000000000e-01  8.681938946854302e-01  8.681939381441949e-01  8.681939380019194e-01  8.681939380730571e-01  1.422755246949237e-10  1.555369201773403e-03 
 1.964000000000001e-07  8.500000000000000e-01  8.681938946394424e-01  8.681939380934656e-01  8.681939379601904e-01  8.681939380268280e-01  1.332751686788924e-10  1.555369202725684e-03 
 2.014000000000001e-07  8.500000000000000e-01  8.681938945953318e-01  8.681939380471173e-01  8.681939379227414e-01  8.681939379849293e-01  1.243759539804046e-10  1.555369202456525e-03 
 2.064000000000001e-07  8.500000000000000e-01  8.681938945587006e-01  8.681939380077911e-01  8.681939378908909e-01  8.681939379493411e-01  1.169001562217886e-10  1.555369202624940e-03 
 2.114000000000001e-07  8.500000000000000e-01  8.681938945275350e-01  8.681939379774237e-01  8.681939378637131e-01  8.681939379205684e-01  1.137105964943430e-10  1.555369202634933e-03 
 2.164000000000001e-07  8.500000000000000e-01  8.681938945038842e-01  8.681939379565630e-01  8.681939378442087e-01  8.681939379003858e-01  1.123542370251585e-10  1.555369203015313e-03 
 2.214000000000001e-07  8.500000000000000e-01  8.681938944860603e-01  8.681939379434894e-01  8.681939378294262e-01  8.681939378864578e-01  1.140632033269640e-10  1.555369202597043e-03 
 2.264000000000001e-07  8.500000000000000e-01  8.681938944696859e-01  8.681939379308058e-01  8.681939378143397e-01  8.681939378725727e-01  1.164660590191602e-10  1.555369202846033e-03 
 2.314000000000002e-07  8.500000000000000e-01  8.681938944536507e-01  8.681939379183209e-01  8.681939377927685e-01  8.681939378555448e-01  1.255523462972974e-10  1.555369202809287e-03 
 2.364000000000002e-07  8.500000000000000e-01  8.681938944391087e-01  8.681939379077284e-01  8.681939377727901e-01  8.681939378402592e-01  1.349382827697809e-10  1.555369202797082e-03 
 2.414000000000001e-07  8.500000000000000e-01  8.681938944299870e-01  8.681939379027036e-01  8.681939377659009e-01  8.681939378343022e-01  1.368026802950340e-10  1.555369202915922e-03 
 2.464000000000001e-07  8.500000000000000e-01  8.681938944247493e-01  8.681939379002916e-01  8.681939377614851e-01  8.681939378308884e-01  1.388065218321799e-10  1.555369202559143e-03 
 2.514000000000001e-07  8.500000000000000e-01  8.681938944228915e-01  8.681939378984734e-01  8.681939377601984e-01  8.681939378293360e-01  1.382750580702918e-10  1.555369202774319e-03 
 2.564000000000002e-07  8.500000000000000e-01  8.681938944222019e-01  8.681939378999401e-01  8.681939377643989e-01  8.681939378321695e-01  1.355412448944548e-10  1.555369202966197e-03 
 2.614000000000002e-07  8.500000000000000e-01  8.681938944253581e-01  8.681939379038689e-01  8.681939377682641e-01  8.681939378360666e-01  1.356047496514634e-10  1.555369202485337e-03 
 2.664000000000002e-07  8.500000000000000e-01  8.681938944325207e-01  8.681939379109395e-01  8.681939377775859e-01  8.681939378442627e-01  1.333535504244310e-10  1.555369202742860e-03 
 2.714000000000002e-07  8.500000000000000e-01  8.681938944425840e-01  8.681939379208353e-01  8.681939377911195e-01  8.681939378559774e-01  1.297157936619442e-10  1.555369203133463e-03 
 2.764000000000002e-07  8.500000000000000e-01  8.681938944577360e-01  8.681939379358987e-01  8.681939378087465e-01  8.681939378723227e-01  1.271521776757822e-10  1.555369203116899e-03 
 2.814000000000002e-07  8.500000000000000e-01  8.681938944743034e-01  8.681939379560099e-01  8.681939378237024e-01  8.681939378898561e-01  1.323074982906292e-10  1.555369203161404e-03 
 2.864000000000002e-07  8.500000000000000e-01  8.681938944899725e-01  8.681939379769031e-01  8.681939378350612e-01  8.681939379059822e-01  1.418419826038075e-10  1.555369202727515e-03 
 2.914000000000002e-07  8.500000000000000e-01  8.681938945010457e-01  8.681939379969539e-01  8.681939378385014e-01  8.681939379177277e-01  1.584524733644344e-10  1.555369203088830e-03 
 2.964000000000002e-07  8.500000000000000e-01  8.681938945132449e-01  8.681939380150069e-01  8.681939378427738e-01  8.681939379288903e-01  1.722331166575941e-10  1.555369202929813e-03 
 3.014000000000002e-07  8.500000000000000e-01  8.681938945278560e-01  8.681939380320610e-01  8.681939378549861e-01  8.681939379435235e-01  1.770749102902869e-10  1.555369202953222e-03 
 3.064000000000002e-07  8.500000000000000e-01  8.681938945444918e-01  8.681939380507715e-01  8.681939378730027e-01  8.681939379618870e-01  1.777687996806776e-10  1.555369203138037e-03 
 3.114000000000002e-07  8.500000000000000e-01  8.681938945619839e-01  8.681939380694724e-01  8.681939378883142e-01  8.681939379788933e-01  1.811581995525557e-10  1.555369202743101e-03 
 3.164000000000002e-07  8.500000000000000e-01  8.681938945762017e-01  8.681939380853085e-01  8.681939379030412e-01  8.681939379941749e-01  1.822673123541563e-10  1.555369203175744e-03 
 3.214000000000002e-07  8.500000000000000e-01  8.681938945907635e-01  8.681939380993505e-01  8.681939379155947e-01  8.681939380074726e-01  1.837557883632712e-10  1.555369202966282e-03 
 3.264000000000002e-07  8.500000000000000e-01  8.681938946028338e-01  8.681939381102903e-01  8.681939379278431e-01  8.681939380190666e-01  1.824472795064480e-10  1.555369202962386e-03 
 3.314000000000002e-07  8.500000000000000e-01  8.681938946123693e-01  8.681939381184389e-01  8.681939379374436e-01  8.681939380279413e-01  1.809953298348432e-10  1.555369203252669e-03 
 3.364000000000002e-07  8.500000000000000e-01  8.681938946216018e-01  8.681939381243503e-01  8.681939379447808e-01  8.681939380345656e-01  1.795694704043171e-10  1.555369202947919e-03 
 3.414000000000002e-07  8.500000000000000e-01  8.681938946306643e-01  8.681939381300442e-01  8.681939379549717e-01  8.681939380425079e-01  1.750725120430729e-10  1.555369202947896e-03 
 3.464000000000002e-07  8.500000000000000e-01  8.681938946369060e-01  8.681939381353597e-01  8.681939379640934e-01  8.681939380497266e-01  1.712663344477505e-10  1.555369202905186e-03 
 3.514000000000002e-07  8.500000000000000e-01  8.681938946458310e-01  8.681939381418812e-01  8.681939379762542e-01  8.681939380590677e-01  1.656269565941670e-10  1.555369203112271e-03 
 3.564000000000003e-07  8.500000000000000e-01  8.681938946567536e-01  8.681939381513037e-01  8.681939379894912e-01  8.681939380703975e-01  1.618125633484624e-10  1.555369203111973e-03 
 3.614000000000003e-07  8.500000000000000e-01  8.681938946682149e-01  8.681939381623943e-01  8.681939380037361e-01  8.681939380830652e-01  1.586581976908974e-10  1.555369203111843e-03 
 3.664000000000003e-07  8.500000000000000e-01  8.681938946819331e-01  8.681939381744035e-01  8.681939380203924e-01  8.681939380973980e-01  1.540111371767239e-10  1.555369202931102e-03 
 3.714000000000003e-07  8.500000000000000e-01  8.681938946976385e-01  8.681939381894784e-01  8.681939380386692e-01  8.681939381140737e-01  1.508092539737049e-10  1.555369202977369e-03 
 3.764000000000003e-07  8.500000000000000e-01  8.681938947104354e-01  8.681939382050449e-01  8.681939380510011e-01  8.681939381280230e-01  1.540437777336479e-10  1.555369203090250e-03 
 3.814000000000003e-07  8.500000000000000e-01  8.681938947282495e-01  8.681939382199976e-01  8.681939380670716e-01  8.681939381435346e-01  1.529260051924552e-10  1.555369203589946e-03 
 3.864000000000003e-07  8.500000000000000e-01  8.681938947412103e-01  8.681939382332600e-01  8.681939380803990e-01  8.681939381568295e-01  1.528609461232122e-10  1.555369202742876e-03 
 3.914000000000003e-07  8.500000000000000e-01  8.681938947527512e-01  8.681939382447280e-01  8.681939380946596e-01  8.681939381696938e-01  1.500684021493726e-10  1.555369203417876e-03 
 3.964000000000003e-07  8.500000000000000e-01  8.681938947638114e-01  8.681939382517501e-01  8.681939381067912e-01  8.681939381792707e-01  1.449588227231402e-10  1.555369203434932e-03 
 4.014000000000003e-07  8.500000000000000e-01  8.681938947742247e-01  8.681939382564129e-01  8.681939381201207e-01  8.681939381882668e-01  1.362921997483113e-10  1.555369203253167e-03 
 4.064000000000003e-07  8.500000000000000e-01  8.681938947817834e-01  8.681939382614530e-01  8.681939381282040e-01  8.681939381948285e-01  1.332489674155113e-10  1.555369203237964e-03 
 4.114000000000003e-07  8.500000000000000e-01  8.681938947869449e-01  8.681939382666441e-01  8.681939381342689e-01  8.681939382004565e-01  1.323752218951313e-10  1.555369203600248e-03 
 4.164000000000003e-07  8.500000000000000e-01  8.681938947893578e-01  8.681939382681669e-01  8.681939381353693e-01  8.681939382017680e-01  1.327976617560012e-10  1.555369203049759e-03 
 4.214000000000003e-07  8.500000000000000e-01  8.681938947866287e-01  8.681939382639593e-01  8.681939381309487e-01  8.681939381974539e-01  1.330106025321243e-10  1.555369203026883e-03 
 4.264000000000003e-07  8.500000000000000e-01  8.681938947797695e-01  8.681939382533265e-01  8.681939381236313e-01  8.681939381884789e-01  1.296951435136862e-10  1.555369203014238e-03 
 4.314000000000003e-07  8.500000000000000e-01  8.681938947666273e-01  8.681939382361555e-01  8.681939381106841e-01  8.681939381734198e-01  1.254714110388022e-10  1.555369202643294e-03 
 4.364000000000003e-07  8.500000000000000e-01  8.681938947530285e-01  8.681939382144015e-01  8.681939380966108e-01  8.681939381555062e-01  1.177906661098405e-10  1.555369202624803e-03 
 4.414000000000003e-07  8.500000000000000e-01  8.681938947357559e-01  8.681939381939127e-01  8.681939380813465e-01  8.681939381376296e-01  1.125661786005594e-10  1.555369203240608e-03 
 4.464000000000003e-07  8.500000000000000e-01  8.681938947178660e-01  8.681939381753453e-01  8.681939380619933e-01  8.681939381186693e-01  1.133519944573891e-10  1.555369202780712e-03 
 4.514000000000003e-07  8.500000000000000e-01  8.681938946947957e-01  8.681939381577269e-01  8.681939380318424e-01  8.681939380947847e-01  1.258845250262652e-10  1.555369202527614e-03 
 4.564000000000004e-07  8.500000000000000e-01  8.681938946735608e-01  8.681939381421067e-01  8.681939380044811e-01  8.681939380732939e-01  1.376255776008861e-10  1.555369202992686e-03 
 4.614000000000004e-07  8.500000000000000e-01  8.681938946578063e-01  8.681939381302541e-01  8.681939379873798e-01  8.681939380588169e-01  1.428743789944065e-10  1.555369203010313e-03 
 4.664000000000004e-07  8.500000000000000e-01  8.681938946452170e-01  8.681939381215104e-01  8.681939379753022e-01  8.681939380484063e-01  1.462081566927509e-10  1.555369203008550e-03 
 4.714000000000004e-07  8.500000000000000e-01  8.681938946345568e-01  8.681939381127257e-01  8.681939379646665e-01  8.681939380386960e-01  1.480592315417084e-10  1.555369203009728e-03 
 4.764000000000004e-07  8.500000000000000e-01  8.681938946256486e-01  8.681939381032610e-01  8.681939379585399e-01  8.681939380309005e-01  1.447210129512655e-10  1.555369203456321e-03 
 4.814000000000004e-07  8.500000000000000e-01  8.681938946208801e-01  8.681939380971545e-01  8.681939379606409e-01  8.681939380288977e-01  1.365135782194216e-10  1.555369203419222e-03 
 4.864000000000003e-07  8.500000000000000e-01  8.681938946174605e-01  8.681939380900978e-01  8.681939379604054e-01  8.681939380252517e-01  1.296923679561246e-10  1.555369203223140e-03 
 4.914000000000003e-07  8.500000000000000e-01  8.681938946144218e-01  8.681939380836559e-01  8.681939379614639e-01  8.681939380225598e-01  1.221919232463620e-10  1.555369203651258e-03 
 4.964000000000002e-07  8.500000000000000e-01  8.681938946093207e-01  8.681939380759576e-01  8.681939379583706e-01  8.681939380171642e-01  1.175869401848217e-10  1.555369203239278e-03 
 5.014000000000002e-07  8.500000000000000e-01  8.681938945968383e-01  8.681939380645406e-01  8.681939379396874e-01  8.681939380021140e-01  1.248532388586909e-10  1.555369202810452e-03 
 5.064000000000001e-07  8.500000000000000e-01  8.681938945800911e-01  8.681939380529018e-01  8.681939379105612e-01  8.681939379817315e-01  1.423405837641667e-10  1.555369202549218e-03 
 5.114000000000001e-07  8.500000000000000e-01  8.681938945647285e-01  8.681939380455896e-01  8.681939378895539e-01  8.681939379675718e-01  1.560357398844303e-10  1.555369202940250e-03 
 5.164000000000000e-07  8.500000000000000e-01  8.681938945581684e-01  8.681939380439342e-01  8.681939378807947e-01  8.681939379623644e-01  1.631395019074944e-10  1.555369202937740e-03 
 5.214000000000000e-07  8.500000000000000e-01  8.681938945573987e-01  8.681939380474895e-01  8.681939378819939e-01  8.681939379647416e-01  1.654955061880514e-10  1.555369202931830e-03 
 5.263999999999999e-07  8.500000000000000e-01  8.681938945644243e-01  8.681939380572923e-01  8.681939378917541e-01  8.681939379745232e-01  1.655381387521970e-10  1.555369202910350e-03 
 5.313999999999999e-07  8.500000000000000e-01  8.681938945742925e-01  8.681939380712206e-01  8.681939379065581e-01  8.681939379888893e-01  1.646625058526752e-10  1.555369203113264e-03 
 5.363999999999999e-07  8.500000000000000e-01  8.681938945904556e-01  8.681939380882687e-01  8.681939379233078e-01  8.681939380057883e-01  1.649609338016944e-10  1.555369202750788e-03 
 5.413999999999998e-07  8.500000000000000e-01  8.681938946087553e-01  8.681939381104966e-01  8.681939379416127e-01  8.681939380260546e-01  1.688839068592074e-10  1.555369202690295e-03 
 5.463999999999998e-07  8.500000000000000e-01  8.681938946271316e-01  8.681939381338616e-01  8.681939379598408e-01  8.681939380468512e-01  1.740207977718455e-10  1.555369202743847e-03 
 5.513999999999997e-07  8.500000000000000e-01  8.681938946450546e-01  8.681939381533624e-01  8.681939379739153e-01  8.681939380636389e-01  1.794471238270035e-10  1.555369203251401e-03 
 5.563999999999997e-07  8.500000000000000e-01  8.681938946601406e-01  8.681939381665487e-01  8.681939379843494e-01  8.681939380754491e-01  1.821992556827468e-10  1.555369203271220e-03 
 5.613999999999996e-07  8.500000000000000e-01  8.681938946688321e-01  8.681939381744810e-01  8.681939379924174e-01  8.681939380834491e-01  1.820635864291376e-10  1.555369203420214e-03 
 5.663999999999996e-07  8.500000000000000e-01  8.681938946751079e-01  8.681939381779978e-01  8.681939379992883e-01  8.681939380886431e-01  1.787094916494425e-10  1.555369203024654e-03 
 5.713999999999995e-07  8.500000000000000e-01  8.681938946820500e-01  8.681939381805862e-01  8.681939380085003e-01  8.681939380945433e-01  1.720859010845288e-10  1.555369203174791e-03 
 5.763999999999995e-07  8.500000000000000e-01  8.681938946868909e-01  8.681939381833643e-01  8.681939380176459e-01  8.681939381005050e-01  1.657184389713962e-10  1.555369203189256e-03 
 5.813999999999994e-07  8.500000000000000e-01  8.681938946933089e-01  8.681939381859672e-01  8.681939380237548e-01  8.681939381048610e-01  1.622124656819324e-10  1.555369203434353e-03 
 5.863999999999994e-07  8.500000000000000e-01  8.681938946967607e-01  8.681939381878153e-01  8.681939380291547e-01  8.681939381084850e-01  1.586606401815516e-10  1.555369203207609e-03 
 5.913999999999993e-07  8.500000000000000e-01  8.681938946974274e-01  8.681939381868202e-01  8.681939380320538e-01  8.681939381094370e-01  1.547664219003764e-10  1.555369203248909e-03 
 5.963999999999993e-07  8.500000000000000e-01  8.681938946996381e-01  8.681939381829400e-01  8.681939380353186e-01  8.681939381091293e-01  1.476213595807963e-10  1.555369203041683e-03 
 6.013999999999992e-07  8.500000000000000e-01  8.681938946980069e-01  8.681939381771214e-01  8.681939380371606e-01  8.681939381071411e-01  1.399608207108827e-10  1.555369203191085e-03 
 6.063999999999992e-07  8.500000000000000e-01  8.681938946952210e-01  8.681939381697983e-01  8.681939380405093e-01  8.681939381051538e-01  1.292890239312783e-10  1.555369203020323e-03 
 6.113999999999991e-07  8.500000000000000e-01  8.681938946957887e-01  8.681939381625221e-01  8.681939380467772e-01  8.681939381046497e-01  1.157448581423637e-10  1.555369203455403e-03 
 6.163999999999991e-07  8.500000000000000e-01  8.681938946932335e-01  8.681939381546613e-01  8.681939380490863e-01  8.681939381018737e-01  1.055749931921923e-10  1.555369203019620e-03 
 6.213999999999990e-07  8.500000000000000e-01  8.681938946876083e-01  8.681939381448569e-01  8.681939380491798e-01  8.681939380970183e-01  9.567713288305413e-11  1.555369203046615e-03 
 6.263999999999990e-07  8.500000000000000e-01  8.681938946818467e-01  8.681939381327985e-01  8.681939380457053e-01  8.681939380892519e-01  8.709322152355981e-11  1.555369202785299e-03 
 6.313999999999989e-07  8.500000000000000e-01  8.681938946714542e-01  8.681939381185132e-01  8.681939380374051e-01  8.681939380779591e-01  8.110812022010805e-11  1.555369202606054e-03 
 6.363999999999989e-07  8.500000000000000e-01  8.681938946607535e-01  8.681939381046767e-01  8.681939380276142e-01  8.681939380661454e-01  7.706246751837398e-11  1.555369203023141e-03 
 6.413999999999988e-07  8.500000000000000e-01  8.681938946483458e-01  8.681939380898395e-01  8.681939380150875e-01  8.681939380524635e-01  7.475198238182656e-11  1.555369202834665e-03 
 6.463999999999988e-07  8.500000000000000e-01  8.681938946340230e-01  8.681939380760959e-01  8.681939379995939e-01  8.681939380378449e-01  7.650202693554320e-11  1.555369203023889e-03 
 6.513999999999988e-07  8.500000000000000e-01  8.681938946182469e-01  8.681939380606429e-01  8.681939379836709e-01  8.681939380221569e-01  7.697198434186703e-11  1.555369202856280e-03 
 6.563999999999987e-07  8.500000000000000e-01  8.681938946022520e-01  8.681939380421902e-01  8.681939379674716e-01  8.681939380048309e-01  7.471867569108781e-11  1.555369202625012e-03 
 6.613999999999987e-07  8.500000000000000e-01  8.681938945870490e-01  8.681939380238906e-01  8.681939379547066e-01  8.681939379892986e-01  6.918399186872648e-11  1.555369203013193e-03 
 6.663999999999986e-07  8.500000000000000e-01  8.681938945752216e-01  8.681939380095411e-01  8.681939379460178e-01  8.681939379777794e-01  6.352329773307019e-11  1.555369202821109e-03 
 6.713999999999986e-07  8.500000000000000e-01  8.681938945609833e-01  8.681939379970901e-01  8.681939379348759e-01  8.681939379659830e-01  6.221423376473467e-11  1.555369202418965e-03 
 6.763999999999985e-07  8.500000000000000e-01  8.681938945496664e-01  8.681939379850889e-01  8.681939379221781e-01  8.681939379536335e-01  6.291078769038450e-11  1.555369202856966e-03 
 6.813999999999985e-07  8.500000000000000e-01  8.681938945377103e-01  8.681939379738758e-01  8.681939379092922e-01  8.681939379415839e-01  6.458356072158722e-11  1.555369203105514e-03 
 6.863999999999984e-07  8.500000000000000e-01  8.681938945243236e-01  8.681939379639938e-01  8.681939378941316e-01  8.681939379290626e-01  6.986222711446999e-11  1.555369203251873e-03 
 6.913999999999984e-07  8.500000000000000e-01  8.681938945117790e-01  8.681939379529209e-01  8.681939378784573e-01  8.681939379156891e-01  7.446354644002895e-11  1.555369202489717e-03 
 6.963999999999983e-07  8.500000000000000e-01  8.681938944991662e-01  8.681939379391634e-01  8.681939378646812e-01  8.681939379019223e-01  7.448219818684265e-11  1.555369202843197e-03 
 7.013999999999983e-07  8.500000000000000e-01  8.681938944814801e-01  8.681939379247517e-01  8.681939378419059e-01  8.681939378833288e-01  8.284584129825134e-11  1.555369202581246e-03 
 7.063999999999982e-07  8.500000000000000e-01  8.681938944664993e-01  8.681939379157576e-01  8.681939378246225e-01  8.681939378701901e-01  9.113509946701015e-11  1.555369203023452e-03 
 7.113999999999982e-07  8.500000000000000e-01  8.681938944602781e-01  8.681939379158949e-01  8.681939378146861e-01  8.681939378652905e-01  1.012088191032490e-10  1.555369202549230e-03 
 7.163999999999981e-07  8.500000000000000e-01  8.681938944577088e-01  8.681939379222465e-01  8.681939378091068e-01  8.681939378656767e-01  1.131397198150808e-10  1.555369203231501e-03 
 7.213999999999981e-07  8.500000000000000e-01  8.681938944585045e-01  8.681939379306648e-01  8.681939378058877e-01  8.681939378682763e-01  1.247770775592016e-10  1.555369202919118e-03 
 7.263999999999980e-07  8.500000000000000e-01  8.681938944616364e-01  8.681939379359429e-01  8.681939378058595e-01  8.681939378709012e-01  1.300833885053976e-10  1.555369202772464e-03 
