 time                   v(INP)                 v(INN)                 vin_diff               v(OUTP)                v(OUTN)                voutcm                 voutdiff               v(REF)                 idd                   
 3.876147809999626e+00  1.900000000000000e+00  1.900941858877568e+00 -9.418588775673697e-04  1.894294966811978e+00  1.895237298283037e+00  1.894766132547507e+00 -9.423314710594877e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.877147809999626e+00  1.900000000000000e+00  1.901085410242661e+00 -1.085410242660956e-03  1.894293439784083e+00  1.895379316258627e+00  1.894836378021355e+00 -1.085876474543834e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.878147809999626e+00  1.900000000000000e+00  1.901224677989404e+00 -1.224677989403622e-03  1.894291912765732e+00  1.895517049743381e+00  1.894904481254557e+00 -1.225136977648589e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.879147809999626e+00  1.900000000000000e+00  1.901359112491624e+00 -1.359112491624348e-03  1.894290385756926e+00  1.895649949139710e+00  1.894970167448318e+00 -1.359563382784090e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.880147809999626e+00  1.900000000000000e+00  1.901488183197760e+00 -1.488183197759785e-03  1.894288858757663e+00  1.895777483928000e+00  1.895033171342832e+00 -1.488625170336322e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.881147809999625e+00  1.900000000000000e+00  1.901611380724700e+00 -1.611380724700018e-03  1.894287331767945e+00  1.895899144760332e+00  1.895093238264138e+00 -1.611812992386996e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.882147809999625e+00  1.900000000000000e+00  1.901728218868090e+00 -1.728218868089826e-03  1.894285804787770e+00  1.896014445470646e+00  1.895150125129208e+00 -1.728640682876037e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.883147809999625e+00  1.900000000000000e+00  1.901838236521155e+00 -1.838236521155112e-03  1.894284277817139e+00  1.896122924993414e+00  1.895203601405277e+00 -1.838647176275687e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.884147809999625e+00  1.900000000000000e+00  1.901940999494482e+00 -1.940999494482121e-03  1.894282750856051e+00  1.896224149183260e+00  1.895253450019656e+00 -1.941398327208521e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.885147809999625e+00  1.900000000000000e+00  1.902036102229563e+00 -2.036102229562520e-03  1.894281223904507e+00  1.896317712528325e+00  1.895299468216416e+00 -2.036488623818000e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.886147809999625e+00  1.900000000000000e+00  1.902123169399350e+00 -2.123169399349534e-03  1.894279696962507e+00  1.896403239750647e+00  1.895341468356577e+00 -2.123542788140087e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.887147809999625e+00  1.900000000000000e+00  1.902201857389501e+00 -2.201857389501072e-03  1.894278170030050e+00  1.896480387287204e+00  1.895379278658627e+00 -2.202217257153194e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.888147809999625e+00  1.900000000000000e+00  1.902271855654469e+00 -2.271855654469190e-03  1.894276643107137e+00  1.896548844645803e+00  1.895412743876470e+00 -2.272201538665364e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.889147809999625e+00  1.900000000000000e+00  1.902332887943081e+00 -2.332887943081285e-03  1.894275116193767e+00  1.896608335630452e+00  1.895441725912109e+00 -2.333219436684075e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.890147809999625e+00  1.900000000000000e+00  1.902384713388777e+00 -2.384713388777104e-03  1.894273589289941e+00  1.896658619431377e+00  1.895466104360659e+00 -2.385030141436761e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.891147809999624e+00  1.900000000000000e+00  1.902427127460200e+00 -2.427127460199463e-03  1.894272062395657e+00  1.896699491575393e+00  1.895485776985525e+00 -2.427429179735485e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.892147809999624e+00  1.900000000000000e+00  1.902459962768386e+00 -2.459962768385449e-03  1.894270535510917e+00  1.896730784732858e+00  1.895500660121887e+00 -2.460249221940547e-03  1.650000000000000e+00  3.300000000000000e-12 
 3.893147809999624e+00  1.900000000000000e+00  1.902483089727375e+00 -2.483089727374654e-03  1.894269008635720e+00  1.896752369378053e+00  1.895510689006887e+00 -2.483360742333129e-03  1.650000000000000e+00  3.300000000000000e-12 
