 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 1.318256738556409e-04  1.000000000000000e+00  0.000000000000000e+00  1.725936463632504e-02  1.302362296628829e-01 
 1.333521432163326e-04  1.000000000000000e+00  0.000000000000000e+00  1.765428946502597e-02  1.316913512636796e-01 
 1.348962882591656e-04  1.000000000000000e+00  0.000000000000000e+00  1.805808482395103e-02  1.331615063928979e-01 
 1.364583136588927e-04  1.000000000000000e+00  0.000000000000000e+00  1.847094227890121e-02  1.346468078939972e-01 
 1.380384264602887e-04  1.000000000000000e+00  0.000000000000000e+00  1.889305717784949e-02  1.361473679132774e-01 
 1.396368361055940e-04  1.000000000000000e+00  0.000000000000000e+00  1.932462870903687e-02  1.376632978297766e-01 
 1.412537544622757e-04  1.000000000000000e+00  0.000000000000000e+00  1.976585995914688e-02  1.391947081826428e-01 
 1.428893958511106e-04  1.000000000000000e+00  0.000000000000000e+00  2.021695797151022e-02  1.407417085959156e-01 
 1.445439770745930e-04  1.000000000000000e+00  0.000000000000000e+00  2.067813380428740e-02  1.423044077006522e-01 
 1.462177174456721e-04  1.000000000000000e+00  0.000000000000000e+00  2.114960258857473e-02  1.438829130543318e-01 
 1.479108388168211e-04  1.000000000000000e+00  0.000000000000000e+00  2.163158358637566e-02  1.454773310574725e-01 
 1.496235656094437e-04  1.000000000000000e+00  0.000000000000000e+00  2.212430024837629e-02  1.470877668673939e-01 
 1.513561248436212e-04  1.000000000000000e+00  0.000000000000000e+00  2.262798027146038e-02  1.487143243090579e-01 
 1.531087461682034e-04  1.000000000000000e+00  0.000000000000000e+00  2.314285565589581e-02  1.503571057829193e-01 
 1.548816618912485e-04  1.000000000000000e+00  0.000000000000000e+00  2.366916276212078e-02  1.520162121697202e-01 
 1.566751070108153e-04  1.000000000000000e+00  0.000000000000000e+00  2.420714236705425e-02  1.536917427321582e-01 
 1.584893192461117e-04  1.000000000000000e+00  0.000000000000000e+00  2.475703971985120e-02  1.553837950133603e-01 
 1.603245390690046e-04  1.000000000000000e+00  0.000000000000000e+00  2.531910459701949e-02  1.570924647320958e-01 
 1.621810097358934e-04  1.000000000000000e+00  0.000000000000000e+00  2.589359135681051e-02  1.588178456746589e-01 
 1.640589773199544e-04  1.000000000000000e+00  0.000000000000000e+00  2.648075899279227e-02  1.605600295833530e-01 
 1.659586907437566e-04  1.000000000000000e+00  0.000000000000000e+00  2.708087118650824e-02  1.623191060415096e-01 
 1.678804018122565e-04  1.000000000000000e+00  0.000000000000000e+00  2.769419635912165e-02  1.640951623549759e-01 
