 time                   v(INP)                 v(INN)                 vin_diff               v(OUTP)                v(OUTN)                voutcm                 voutdiff               v(REF)                 idd                   
 5.261478099999423e-01  1.700000000000000e+00  1.699905814112239e+00  9.418588776144432e-05  1.699871771605828e+00  1.699777587520207e+00  1.699824679563018e+00  9.418408562078540e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.271478099999423e-01  1.700000000000000e+00  1.699891458975730e+00  1.085410242704921e-04  1.699871459738306e+00  1.699762921152030e+00  1.699817190445168e+00  1.085385862757970e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.281478099999423e-01  1.700000000000000e+00  1.699877532201056e+00  1.224677989446477e-04  1.699871147872732e+00  1.699748683235839e+00  1.699809915554286e+00  1.224646368929161e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.291478099999423e-01  1.700000000000000e+00  1.699864088750834e+00  1.359112491665648e-04  1.699870836009108e+00  1.699734928731395e+00  1.699802882370252e+00  1.359072777129544e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.301478099999423e-01  1.700000000000000e+00  1.699851181680220e+00  1.488183197799753e-04  1.699870524147433e+00  1.699721710690658e+00  1.699796117419046e+00  1.488134567748656e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.311478099999423e-01  1.700000000000000e+00  1.699838861927526e+00  1.611380724737543e-04  1.699870212287707e+00  1.699709080048421e+00  1.699789646168064e+00  1.611322392864878e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.321478099999423e-01  1.700000000000000e+00  1.699827178113188e+00  1.728218868126685e-04  1.699869900429931e+00  1.699697085421289e+00  1.699783492925610e+00  1.728150086421909e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.331478099999423e-01  1.700000000000000e+00  1.699816176347881e+00  1.838236521189973e-04  1.699869588574103e+00  1.699685772915814e+00  1.699777680744959e+00  1.838156582887329e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.341478099999423e-01  1.700000000000000e+00  1.699805900050549e+00  1.940999494514095e-04  1.699869276720225e+00  1.699675185946536e+00  1.699772231333380e+00  1.940907736883712e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.351478099999423e-01  1.700000000000000e+00  1.699796389777041e+00  2.036102229592274e-04  1.699868964868295e+00  1.699665365064640e+00  1.699767164966467e+00  2.035998036555853e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.361478099999423e-01  1.700000000000000e+00  1.699787683060063e+00  2.123169399375069e-04  1.699868653018315e+00  1.699656347797921e+00  1.699762500408118e+00  2.123052203937270e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.371478099999423e-01  1.700000000000000e+00  1.699779814261048e+00  2.201857389525497e-04  1.699868341170284e+00  1.699648168502682e+00  1.699758254836483e+00  2.201726676016591e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.381478099999423e-01  1.700000000000000e+00  1.699772814434551e+00  2.271855654489841e-04  1.699868029324201e+00  1.699640858228142e+00  1.699754443776172e+00  2.271710960590756e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.391478099999423e-01  1.700000000000000e+00  1.699766711205690e+00  2.332887943099493e-04  1.699867717480068e+00  1.699634444593901e+00  1.699751081036984e+00  2.332728861673683e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.401478099999423e-01  1.700000000000000e+00  1.699761528661121e+00  2.384713388792203e-04  1.699867405637884e+00  1.699628951680935e+00  1.699748178659410e+00  2.384539569491029e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.411478099999423e-01  1.700000000000000e+00  1.699757287253979e+00  2.427127460211675e-04  1.699867093797649e+00  1.699624399936563e+00  1.699745746867106e+00  2.426938610855522e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.421478099999423e-01  1.700000000000000e+00  1.699754003723161e+00  2.459962768395219e-04  1.699866781959363e+00  1.699620806093751e+00  1.699743794026557e+00  2.459758656125910e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.431478099999423e-01  1.700000000000000e+00  1.699751691027262e+00  2.483089727380872e-04  1.699866470123026e+00  1.699618183105068e+00  1.699742326614047e+00  2.482870179580932e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.441478099999423e-01  1.700000000000000e+00  1.699750358293437e+00  2.496417065629419e-04  1.699866158288638e+00  1.699616540091577e+00  1.699741349190108e+00  2.496181970608191e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.451478099999423e-01  1.700000000000000e+00  1.699750010781378e+00  2.499892186222930e-04  1.699865846456199e+00  1.699615882306834e+00  1.699740864381517e+00  2.499641493649563e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.461478099999423e-01  1.700000000000000e+00  1.699750649862555e+00  2.493501374449814e-04  1.699865534625709e+00  1.699616211116153e+00  1.699740872870931e+00  2.493235095559765e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.471478099999423e-01  1.700000000000000e+00  1.699752273014808e+00  2.477269851925978e-04  1.699865222797168e+00  1.699617523991221e+00  1.699741373394195e+00  2.476988059469942e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.481478099999423e-01  1.700000000000000e+00  1.699754873832295e+00  2.451261677052230e-04  1.699864910970576e+00  1.699619814520075e+00  1.699742362745326e+00  2.450964505011921e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.491478099999423e-01  1.700000000000000e+00  1.699758442050779e+00  2.415579492214270e-04  1.699864599145933e+00  1.699623072432406e+00  1.699743835789169e+00  2.415267135273957e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.501478099999423e-01  1.700000000000000e+00  1.699762963588131e+00  2.370364118693402e-04  1.699864287323239e+00  1.699627283640091e+00  1.699745785481665e+00  2.370036831473854e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.511478099999423e-01  1.700000000000000e+00  1.699768420599909e+00  2.315794000911087e-04  1.699863975502494e+00  1.699632430292797e+00  1.699748202897645e+00  2.315452096963710e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.521478099999423e-01  1.700000000000000e+00  1.699774791549781e+00  2.252084502194496e-04  1.699863663683697e+00  1.699638490848421e+00  1.699751077266059e+00  2.251728352760107e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.531478099999423e-01  1.700000000000000e+00  1.699782051294517e+00  2.179487054827511e-04  1.699863351866850e+00  1.699645440158112e+00  1.699754396012481e+00  2.179117087370841e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.541478099999423e-01  1.700000000000000e+00  1.699790171183223e+00  2.098288167768914e-04  1.699863040051951e+00  1.699653249565521e+00  1.699758144808736e+00  2.097904864297728e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.551478099999423e-01  1.700000000000000e+00  1.699799119170407e+00  2.008808295927977e-04  1.699862728239001e+00  1.699661887019893e+00  1.699762307629447e+00  2.008412191085718e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.561478099999423e-01  1.700000000000000e+00  1.699808859942452e+00  1.911400575478339e-04  1.699862416428001e+00  1.699671317202557e+00  1.699766866815279e+00  1.910992254436916e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.571478099999423e-01  1.700000000000000e+00  1.699819355056981e+00  1.806449430195034e-04  1.699862104618948e+00  1.699681501666314e+00  1.699771803142631e+00  1.806029526341124e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.581478099999423e-01  1.700000000000000e+00  1.699830563094570e+00  1.694369054299205e-04  1.699861792811845e+00  1.699692398987171e+00  1.699777095899508e+00  1.693938246738469e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.591478099999423e-01  1.700000000000000e+00  1.699842439822217e+00  1.575601777830116e-04  1.699861481006691e+00  1.699703964927820e+00  1.699782722967255e+00  1.575160788704899e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.601478099999423e-01  1.700000000000000e+00  1.699854938367904e+00  1.450616320965992e-04  1.699861169203485e+00  1.699716152612224e+00  1.699788660907854e+00  1.450165912613155e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.611478099999423e-01  1.700000000000000e+00  1.699868009405579e+00  1.319905944208166e-04  1.699860857402228e+00  1.699728912710614e+00  1.699794885056421e+00  1.319446916139277e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.621478099999423e-01  1.700000000000000e+00  1.699881601349831e+00  1.183986501693823e-04  1.699860545602920e+00  1.699742193634175e+00  1.699801369618548e+00  1.183519687446566e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.631478099999423e-01  1.700000000000000e+00  1.699895660559463e+00  1.043394405371156e-04  1.699860233805561e+00  1.699755941738639e+00  1.699808087772100e+00  1.042920669218628e-04  1.650000000000000e+00  3.300000000000000e-12 
 5.641478099999423e-01  1.700000000000000e+00  1.699910131549199e+00  8.986845080127814e-05  1.699859922010150e+00  1.699770101535995e+00  1.699815011773073e+00  8.982047415506678e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.651478099999423e-01  1.700000000000000e+00  1.699924957208653e+00  7.504279134695757e-05  1.699859610216689e+00  1.699784615913479e+00  1.699822113065084e+00  7.499430320945244e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.661478099999423e-01  1.700000000000000e+00  1.699940079027721e+00  5.992097227913717e-05  1.699859298425175e+00  1.699799426358966e+00  1.699829362392071e+00  5.987206620949870e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.671478099999423e-01  1.700000000000000e+00  1.699955437327491e+00  4.456267250896317e-05  1.699858986635611e+00  1.699814473191895e+00  1.699836729913753e+00  4.451344371636523e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.681478099999423e-01  1.700000000000000e+00  1.699970971495771e+00  2.902850422903391e-05  1.699858674847996e+00  1.699829695798798e+00  1.699844185323397e+00  2.897904919718641e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.691478099999423e-01  1.700000000000000e+00  1.699986620226295e+00  1.337977370496901e-05  1.699858363062329e+00  1.699845032872518e+00  1.699851697967423e+00  1.333018981086731e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.701478099999423e-01  1.700000000000000e+00  1.700002321760674e+00 -2.321760673495987e-06  1.699858051278611e+00  1.699860422654154e+00  1.699859236966383e+00 -2.371375543708254e-06  1.650000000000000e+00  3.300000000000000e-12 
 5.711478099999423e-01  1.700000000000000e+00  1.700018014132123e+00 -1.801413212310088e-05  1.699857739496841e+00  1.699875803176802e+00  1.699866771336821e+00 -1.806367996048941e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.721478099999423e-01  1.700000000000000e+00  1.700033635410023e+00 -3.363541002321391e-05  1.699857427717020e+00  1.699891112510103e+00  1.699874270113562e+00 -3.368479308263339e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.731478099999423e-01  1.700000000000000e+00  1.700049123944327e+00 -4.912394432654565e-05  1.699857115939148e+00  1.699906289004661e+00  1.699881702471904e+00 -4.917306551277534e-05  1.650000000000000e+00  3.300000000000000e-12 
 5.741478099999423e-01  1.700000000000000e+00  1.700064418608864e+00 -6.441860886408080e-05  1.699856804163224e+00  1.699921271535339e+00  1.699889037849282e+00 -6.446737211440734e-05  1.650000000000000e+00  3.300000000000000e-12 
