 time                   v(INP)                 v(INN)                 vin_diff               v(OUTP)                v(OUTN)                voutcm                 voutdiff               v(REF)                 idd                   
 3.690147809999647e+00  1.400000000000000e+00  1.400238471338878e+00 -2.384713388778881e-04  1.405368040799436e+00  1.405606543843946e+00  1.405487292321691e+00 -2.385030445100078e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.691147809999646e+00  1.400000000000000e+00  1.400242712746020e+00 -2.427127460200573e-04  1.405369569603561e+00  1.405612312551900e+00  1.405490941077731e+00 -2.427429483395915e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.692147809999646e+00  1.400000000000000e+00  1.400245996276839e+00 -2.459962768386337e-04  1.405371098398131e+00  1.405617123350690e+00  1.405494110874411e+00 -2.460249525597646e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.693147809999646e+00  1.400000000000000e+00  1.400248308972738e+00 -2.483089727374210e-04  1.405372627183145e+00  1.405620963287744e+00  1.405496795235445e+00 -2.483361045988453e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.694147809999646e+00  1.400000000000000e+00  1.400249641706563e+00 -2.496417065624978e-04  1.405374155958605e+00  1.405623823242000e+00  1.405498989600302e+00 -2.496672833947056e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.695147809999646e+00  1.400000000000000e+00  1.400249989218622e+00 -2.499892186222930e-04  1.405375684724510e+00  1.405625697959902e+00  1.405500691342206e+00 -2.500132353926432e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.696147809999646e+00  1.400000000000000e+00  1.400249350137446e+00 -2.493501374454254e-04  1.405377213480860e+00  1.405626586076137e+00  1.405501899778498e+00 -2.493725952772419e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.697147809999646e+00  1.400000000000000e+00  1.400247726985193e+00 -2.477269851930419e-04  1.405378742227654e+00  1.405626490119016e+00  1.405502616173335e+00 -2.477478913616160e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.698147809999646e+00  1.400000000000000e+00  1.400245126167706e+00 -2.451261677061112e-04  1.405380270964895e+00  1.405625416500504e+00  1.405502843732700e+00 -2.451455356098364e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.699147809999646e+00  1.400000000000000e+00  1.400241557949223e+00 -2.415579492225373e-04  1.405381799692580e+00  1.405623375490910e+00  1.405502587591745e+00 -2.415757983300626e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.700147809999645e+00  1.400000000000000e+00  1.400237036411871e+00 -2.370364118706725e-04  1.405383328410711e+00  1.405620381178354e+00  1.405501854794533e+00 -2.370527676436307e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.701147809999645e+00  1.400000000000000e+00  1.400231579400093e+00 -2.315794000928850e-04  1.405384857119287e+00  1.405616451413173e+00  1.405500654266230e+00 -2.315942938859727e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.702147809999645e+00  1.400000000000000e+00  1.400225208450222e+00 -2.252084502216700e-04  1.405386385818308e+00  1.405611607737467e+00  1.405498996777888e+00 -2.252219191589688e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.703147809999645e+00  1.400000000000000e+00  1.400217948705485e+00 -2.179487054851936e-04  1.405387914507776e+00  1.405605875300089e+00  1.405496894903932e+00 -2.179607923133986e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.704147809999645e+00  1.400000000000000e+00  1.400209828816779e+00 -2.098288167793338e-04  1.405389443187688e+00  1.405599282757388e+00  1.405494362972538e+00 -2.098395696992217e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.705147809999645e+00  1.400000000000000e+00  1.400200880829596e+00 -2.008808295954623e-04  1.405390971858047e+00  1.405591862160118e+00  1.405491417009082e+00 -2.008903020713770e-04  1.650000000000000e+00  3.300000000000000e-12 
 3.706147809999645e+00  1.400000000000000e+00  1.400191140057551e+00 -1.911400575509425e-04  1.405392500518851e+00  1.405583648826950e+00  1.405488074672900e+00 -1.911483080998533e-04  1.650000000000000e+00  3.300000000000000e-12 
