Corner,Process,Environment,AVDD_V,Temperature_C,Parameter,Unit,Value
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 input range high",V,0.187
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 output range low",V,-2.968
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 output range high",V,2.968
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 CMRR @ 60 Hz",dB,227.390
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 CMRR @ 150 Hz",dB,227.390
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 PSRR+ @ 60 Hz",dB,264.804
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 PSRR+ @ 150 Hz",dB,265.049
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 PSRR- @ 60 Hz",dB,223.264
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 PSRR- @ 150 Hz",dB,223.263
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 input-referred noise 0.05-150 Hz",uVrms,3.279
NOMNOMNOM,NOM,NOMNOM,3.3,27,"G16 THD @ 60 Hz, 0.15 Vpp",%,2.239e-04
NOMVLNOM,NOM,VLNOM,3,27,"FDC bias current",uA,39.479
NOMVLNOM,NOM,VLNOM,3,27,"CMFB bias current",uA,39.479
NOMVLNOM,NOM,VLNOM,3,27,"Total current",mA,1.567
NOMVLNOM,NOM,VLNOM,3,27,"Total power",mW,4.702
NOMVLNOM,NOM,VLNOM,3,27,"Output CM error",mV,-0.164
NOMVLNOM,NOM,VLNOM,3,27,"G2 target gain",V/V,2.000
NOMVLNOM,NOM,VLNOM,3,27,"G2 input offset",mV,-3.333e-08
NOMVLNOM,NOM,VLNOM,3,27,"G2 gain @ 10 Hz",V/V,1.999
NOMVLNOM,NOM,VLNOM,3,27,"G2 gain @ 150 Hz",V/V,1.999
NOMVLNOM,NOM,VLNOM,3,27,"G2 gain error",%,-0.027
NOMVLNOM,NOM,VLNOM,3,27,"G2 -3 dB bandwidth",MHz,4.838
NOMVLNOM,NOM,VLNOM,3,27,"G2 input range low",V,-1.397
NOMVLNOM,NOM,VLNOM,3,27,"G2 input range high",V,1.397
NOMVLNOM,NOM,VLNOM,3,27,"G2 output range low",V,-2.789
NOMVLNOM,NOM,VLNOM,3,27,"G2 output range high",V,2.789
NOMVLNOM,NOM,VLNOM,3,27,"G2 CMRR @ 60 Hz",dB,272.625
NOMVLNOM,NOM,VLNOM,3,27,"G2 CMRR @ 150 Hz",dB,272.740
NOMVLNOM,NOM,VLNOM,3,27,"G2 PSRR+ @ 60 Hz",dB,237.279
NOMVLNOM,NOM,VLNOM,3,27,"G2 PSRR+ @ 150 Hz",dB,237.274
NOMVLNOM,NOM,VLNOM,3,27,"G2 PSRR- @ 60 Hz",dB,241.982
NOMVLNOM,NOM,VLNOM,3,27,"G2 PSRR- @ 150 Hz",dB,242.011
NOMVLNOM,NOM,VLNOM,3,27,"G2 input-referred noise 0.05-150 Hz",uVrms,4.618
NOMVLNOM,NOM,VLNOM,3,27,"G2 THD @ 60 Hz, 1.20 Vpp",%,0.012
NOMVLNOM,NOM,VLNOM,3,27,"G4 target gain",V/V,4.000
NOMVLNOM,NOM,VLNOM,3,27,"G4 input offset",mV,-3.765e-07
NOMVLNOM,NOM,VLNOM,3,27,"G4 gain @ 10 Hz",V/V,3.983
NOMVLNOM,NOM,VLNOM,3,27,"G4 gain @ 150 Hz",V/V,3.983
NOMVLNOM,NOM,VLNOM,3,27,"G4 gain error",%,-0.426
NOMVLNOM,NOM,VLNOM,3,27,"G4 -3 dB bandwidth",MHz,2.925
NOMVLNOM,NOM,VLNOM,3,27,"G4 input range low",V,-0.697
NOMVLNOM,NOM,VLNOM,3,27,"G4 input range high",V,0.697
NOMVLNOM,NOM,VLNOM,3,27,"G4 output range low",V,-2.774
NOMVLNOM,NOM,VLNOM,3,27,"G4 output range high",V,2.774
NOMVLNOM,NOM,VLNOM,3,27,"G4 CMRR @ 60 Hz",dB,260.437
NOMVLNOM,NOM,VLNOM,3,27,"G4 CMRR @ 150 Hz",dB,260.392
NOMVLNOM,NOM,VLNOM,3,27,"G4 PSRR+ @ 60 Hz",dB,241.418
NOMVLNOM,NOM,VLNOM,3,27,"G4 PSRR+ @ 150 Hz",dB,241.478
NOMVLNOM,NOM,VLNOM,3,27,"G4 PSRR- @ 60 Hz",dB,243.470
NOMVLNOM,NOM,VLNOM,3,27,"G4 PSRR- @ 150 Hz",dB,243.457
NOMVLNOM,NOM,VLNOM,3,27,"G4 input-referred noise 0.05-150 Hz",uVrms,3.851
NOMVLNOM,NOM,VLNOM,3,27,"G4 THD @ 60 Hz, 0.60 Vpp",%,0.003
NOMVLNOM,NOM,VLNOM,3,27,"G8 target gain",V/V,8.000
NOMVLNOM,NOM,VLNOM,3,27,"G8 input offset",mV,-1.883e-07
NOMVLNOM,NOM,VLNOM,3,27,"G8 gain @ 10 Hz",V/V,7.943
NOMVLNOM,NOM,VLNOM,3,27,"G8 gain @ 150 Hz",V/V,7.943
NOMVLNOM,NOM,VLNOM,3,27,"G8 gain error",%,-0.708
NOMVLNOM,NOM,VLNOM,3,27,"G8 -3 dB bandwidth",MHz,1.956
NOMVLNOM,NOM,VLNOM,3,27,"G8 input range low",V,-0.344
NOMVLNOM,NOM,VLNOM,3,27,"G8 input range high",V,0.344
NOMVLNOM,NOM,VLNOM,3,27,"G8 output range low",V,-2.730
NOMVLNOM,NOM,VLNOM,3,27,"G8 output range high",V,2.730
NOMVLNOM,NOM,VLNOM,3,27,"G8 CMRR @ 60 Hz",dB,221.227
NOMVLNOM,NOM,VLNOM,3,27,"G8 CMRR @ 150 Hz",dB,221.244
NOMVLNOM,NOM,VLNOM,3,27,"G8 PSRR+ @ 60 Hz",dB,260.294
NOMVLNOM,NOM,VLNOM,3,27,"G8 PSRR+ @ 150 Hz",dB,260.062
NOMVLNOM,NOM,VLNOM,3,27,"G8 PSRR- @ 60 Hz",dB,217.976
NOMVLNOM,NOM,VLNOM,3,27,"G8 PSRR- @ 150 Hz",dB,217.994
NOMVLNOM,NOM,VLNOM,3,27,"G8 input-referred noise 0.05-150 Hz",uVrms,3.466
NOMVLNOM,NOM,VLNOM,3,27,"G8 THD @ 60 Hz, 0.30 Vpp",%,3.566e-04
NOMVLNOM,NOM,VLNOM,3,27,"G16 target gain",V/V,16.000
NOMVLNOM,NOM,VLNOM,3,27,"G16 input offset",mV,-2.862e-08
NOMVLNOM,NOM,VLNOM,3,27,"G16 gain @ 10 Hz",V/V,15.862
NOMVLNOM,NOM,VLNOM,3,27,"G16 gain @ 150 Hz",V/V,15.862
NOMVLNOM,NOM,VLNOM,3,27,"G16 gain error",%,-0.860
NOMVLNOM,NOM,VLNOM,3,27,"G16 -3 dB bandwidth",MHz,0.903
NOMVLNOM,NOM,VLNOM,3,27,"G16 input range low",V,-0.168
NOMVLNOM,NOM,VLNOM,3,27,"G16 input range high",V,0.168
