 cl_ref                 cl_voutcm              cl_ideal               cl_vcmfb               cl_error              
 2.179999999999997e+00  2.177699077500815e+00  2.179999999999997e+00  3.025799077500815e+00 -2.300922499182345e-03 
 2.189999999999997e+00  2.187643605609359e+00  2.189999999999997e+00  3.035743605609359e+00 -2.356394390638616e-03 
 2.199999999999997e+00  2.197586333997643e+00  2.199999999999997e+00  3.045686333997643e+00 -2.413666002353931e-03 
 2.209999999999997e+00  2.207526923763781e+00  2.209999999999997e+00  3.055626923763781e+00 -2.473076236216176e-03 
 2.219999999999997e+00  2.217464942301305e+00  2.219999999999997e+00  3.065564942301305e+00 -2.535057698691556e-03 
 2.229999999999996e+00  2.227399832352829e+00  2.229999999999996e+00  3.075499832352828e+00 -2.600167647167861e-03 
 2.239999999999996e+00  2.237330871269919e+00  2.239999999999996e+00  3.085430871269919e+00 -2.669128730076853e-03 
 2.249999999999996e+00  2.247257103427247e+00  2.249999999999996e+00  3.095357103427246e+00 -2.742896572749398e-03 
 2.259999999999996e+00  2.257177247952574e+00  2.259999999999996e+00  3.105277247952574e+00 -2.822752047422217e-03 
 2.269999999999996e+00  2.267089562346752e+00  2.269999999999996e+00  3.115189562346752e+00 -2.910437653243836e-03 
 2.279999999999995e+00  2.276991632748347e+00  2.279999999999995e+00  3.125091632748347e+00 -3.008367251648547e-03 
 2.289999999999995e+00  2.286880059319507e+00  2.289999999999995e+00  3.134980059319507e+00 -3.119940680488487e-03 
 2.299999999999995e+00  2.296749962995001e+00  2.299999999999995e+00  3.144849962995001e+00 -3.250037004993711e-03 
 2.309999999999995e+00  2.306594216932958e+00  2.309999999999995e+00  3.154694216932958e+00 -3.405783067036428e-03 
 2.319999999999995e+00  2.316402237886520e+00  2.319999999999995e+00  3.164502237886520e+00 -3.597762113474179e-03 
 2.329999999999994e+00  2.326158093454714e+00  2.329999999999994e+00  3.174258093454714e+00 -3.841906545280604e-03 
 2.339999999999994e+00  2.335837649526671e+00  2.339999999999994e+00  3.183937649526671e+00 -4.162350473322807e-03 
 2.349999999999994e+00  2.345404558682683e+00  2.349999999999994e+00  3.193504558682683e+00 -4.595441317310378e-03 
 2.359999999999994e+00  2.354805494613458e+00  2.359999999999994e+00  3.202905494613458e+00 -5.194505386535209e-03 
 2.369999999999993e+00  2.363966554300139e+00  2.369999999999993e+00  3.212066554300139e+00 -6.033445699854756e-03 
 2.379999999999993e+00  2.372794952467748e+00  2.379999999999993e+00  3.220894952467748e+00 -7.205047532245157e-03 
 2.389999999999993e+00  2.381190297179372e+00  2.389999999999993e+00  3.229290297179372e+00 -8.809702820621101e-03 
