device,role,Id_uA,gm_uS,gds_uS,ro_kohm,W_um,L_um,W_over_L
M1,PMOS input pair,7.85398163397448,125.663706143592,0.145834007756376,6857.11114564277,62.1359306485323,1,62.1359306485323
M2,PMOS input pair,7.85398163397448,125.663706143592,0.145834007756376,6857.11114564277,62.1359306485323,1,62.1359306485323
M3,NMOS load,7.85398163397448,62.8318530717959,0.111991752944168,8929.2289272277,4.37304099887221,2,2.1865204994361
M4,NMOS load,7.85398163397448,62.8318530717959,0.111991752944168,8929.2289272277,4.37304099887221,2,2.1865204994361
M5,PMOS tail current source,15.707963267949,125.663706143592,0.117783959268527,8490.12043923716,39.5666581056649,2,19.7833290528324
M6,NMOS 2nd-stage common source,235.619449019234,1884.95559215388,11.3880835678702,87.8110872685684,32.5396283689041,0.5,65.0792567378082
M7,PMOS 2nd-stage current source,235.619449019234,1884.95559215388,8.3582635338501,119.642075886947,113.991025166538,0.5,227.982050333076
M8,bias mirror,40,320,0.299934389352329,3334.0625,100.755667506297,2,50.3778337531486
