PMOS terminal gm/Id table:

L = 0.28 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     15.00    1575.27      63.95        0.07295         0.4526      0.133      0.707      0.840
     16.00    1608.33      64.13        0.05669         0.4067      0.125      0.699      0.824
     17.00    1630.77      64.25        0.04324         0.3573      0.118      0.690      0.808
     18.00    1641.29      64.30        0.03217         0.3052      0.111      0.680      0.791
     19.00    1638.03      64.29        0.02314          0.251      0.105      0.668      0.773
     20.00    1620.48      64.19        0.01569         0.1952      0.100      0.653      0.753

L = 3.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00     851.76      58.61          1.019         0.2684      0.500      0.739      1.239
      5.00    1054.64      60.46         0.6619         0.2747      0.400      0.742      1.142
      6.00    1239.41      61.86         0.4621         0.2787      0.333      0.743      1.077
      7.00    1408.22      62.97         0.3379         0.2802      0.286      0.743      1.028
      8.00    1562.25      63.87         0.2549         0.2792      0.250      0.741      0.991
      9.00    1702.14      64.62         0.1962         0.2754      0.222      0.738      0.960
     10.00    1827.87      65.24         0.1534          0.269      0.200      0.734      0.934
     11.00    1940.25      65.76         0.1207           0.26      0.182      0.729      0.911
     12.00    2038.73      66.19        0.09544         0.2485      0.167      0.724      0.891
     13.00    2122.99      66.54        0.07561         0.2349      0.154      0.718      0.872
     14.00    2192.91      66.82        0.05975         0.2192      0.143      0.712      0.854
     15.00    2248.21      67.04        0.04682         0.2013      0.133      0.704      0.838
     16.00    2288.12      67.19         0.0363         0.1818      0.125      0.696      0.821
     17.00    2311.17      67.28        0.02775         0.1608      0.118      0.687      0.805
     18.00    2317.59      67.30        0.02065         0.1383      0.111      0.677      0.788
     19.00    2305.13      67.25        0.01482         0.1145      0.105      0.665      0.770
     20.00    2271.38      67.13        0.01006        0.08971      0.100      0.650      0.750

L = 4.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00    1117.15      60.96         0.7519         0.1491      0.500      0.738      1.238
      5.00    1377.40      62.78         0.4878         0.1525      0.400      0.741      1.141
      6.00    1612.25      64.15         0.3404         0.1548      0.333      0.742      1.076
      7.00    1825.03      65.22         0.2488         0.1557      0.286      0.742      1.027
      8.00    2017.65      66.10         0.1875         0.1553      0.250      0.739      0.989
      9.00    2190.90      66.81         0.1444         0.1534      0.222      0.736      0.959
     10.00    2345.49      67.40         0.1128         0.1501      0.200      0.733      0.933
     11.00    2482.13      67.90        0.08872         0.1454      0.182      0.728      0.910
     12.00    2600.19      68.30        0.07017         0.1393      0.167      0.723      0.889
     13.00    2700.04      68.63        0.05554          0.132      0.154      0.717      0.871
     14.00    2780.73      68.88        0.04391         0.1235      0.143      0.710      0.853
     15.00    2842.35      69.07        0.03444         0.1138      0.133      0.703      0.836
     16.00    2885.11      69.20        0.02666         0.1031      0.125      0.695      0.820
     17.00    2905.50      69.26         0.0204        0.09149      0.118      0.686      0.804
     18.00    2904.73      69.26         0.0152        0.07896      0.111      0.676      0.787
     19.00    2880.51      69.19        0.01091        0.06563      0.105      0.664      0.769
     20.00    2829.72      69.03       0.007408        0.05161      0.100      0.649      0.749

L = 5.00 um
     gm/Id     gm/gds       Gain           Id/W       gm/Id*fT        Vov         Vt        VSG
     (1/V)                  (dB)        (uA/um)        (GHz/V)        (V)        (V)        (V)
      4.00    1368.44      62.72         0.5955        0.09474      0.500      0.738      1.238
      5.00    1680.72      64.51          0.386        0.09688      0.400      0.741      1.141
      6.00    1960.17      65.85         0.2693        0.09832      0.333      0.742      1.075
      7.00    2211.44      66.89         0.1968        0.09898      0.286      0.741      1.027
      8.00    2437.19      67.74         0.1483        0.09878      0.250      0.739      0.989
      9.00    2638.70      68.43         0.1142         0.0977      0.222      0.736      0.958
     10.00    2817.16      69.00        0.08914        0.09571      0.200      0.732      0.932
     11.00    2973.01      69.46        0.07016        0.09282      0.182      0.727      0.909
     12.00    3106.31      69.84        0.05549         0.0891      0.167      0.722      0.888
     13.00    3217.72      70.15        0.04389        0.08455      0.154      0.716      0.870
     14.00    3305.68      70.39        0.03469        0.07926      0.143      0.709      0.852
     15.00    3370.38      70.55        0.02722        0.07321      0.133      0.702      0.835
     16.00    3412.45      70.66        0.02108        0.06644      0.125      0.694      0.819
     17.00    3428.68      70.70        0.01611        0.05907      0.118      0.685      0.803
     18.00    3419.10      70.68        0.01202         0.0511      0.111      0.675      0.786
     19.00    3381.97      70.58       0.008631        0.04256      0.105      0.663      0.768
     20.00    3313.86      70.41       0.005862        0.03353      0.100      0.648      0.748
